Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Common Name	Species Code	Confidence	Begin Path	File Offset (s)
1	Spectrogram 1	1	18.0	21.0	0	15000	Red-eyed Vireo	reevir1	0.3134	/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_115000_SSW06.WAV	18.0
2	Spectrogram 1	1	30.0	33.0	0	15000	Red-eyed Vireo	reevir1	0.2821	/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_115000_SSW06.WAV	30.0
3	Spectrogram 1	1	45.0	48.0	0	15000	Red-eyed Vireo	reevir1	0.2837	/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_115000_SSW06.WAV	45.0
4	Spectrogram 1	1	51.0	54.0	0	15000	Red-eyed Vireo	reevir1	0.4341	/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_115000_SSW06.WAV	51.0
5	Spectrogram 1	1	54.0	57.0	0	15000	Red-eyed Vireo	reevir1	0.2521	/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_115000_SSW06.WAV	54.0
6	Spectrogram 1	1	63.0	66.0	0	15000	Red-eyed Vireo	reevir1	0.2914	/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_115000_SSW06.WAV	63.0
7	Spectrogram 1	1	66.0	69.0	0	15000	Red-eyed Vireo	reevir1	0.3803	/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_115000_SSW06.WAV	66.0
8	Spectrogram 1	1	72.0	75.0	0	15000	Red-eyed Vireo	reevir1	0.3384	/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_115000_SSW06.WAV	72.0
9	Spectrogram 1	1	81.0	84.0	0	15000	Red-eyed Vireo	reevir1	0.3553	/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_115000_SSW06.WAV	81.0
10	Spectrogram 1	1	87.0	90.0	0	15000	Red-eyed Vireo	reevir1	0.3063	/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_115000_SSW06.WAV	87.0
