Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Common Name	Species Code	Confidence	Begin Path	File Offset (s)
11	Spectrogram 1	1	93.0	96.0	0	15000	Red-eyed Vireo	reevir1	0.3446	/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_115000_SSW06.WAV	93.0
12	Spectrogram 1	1	105.0	108.0	0	15000	Red-eyed Vireo	reevir1	0.4643	/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_115000_SSW06.WAV	105.0
13	Spectrogram 1	1	114.0	117.0	0	15000	Red-eyed Vireo	reevir1	0.2669	/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_115000_SSW06.WAV	114.0
14	Spectrogram 1	1	162.0	165.0	0	15000	American Crow	amecro	0.2916	/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_115000_SSW06.WAV	162.0
15	Spectrogram 1	1	183.0	186.0	0	15000	Red-eyed Vireo	reevir1	0.2707	/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_115000_SSW06.WAV	183.0
16	Spectrogram 1	1	186.0	189.0	0	15000	Red-eyed Vireo	reevir1	0.5963	/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_115000_SSW06.WAV	186.0
17	Spectrogram 1	1	186.0	189.0	0	15000	American Crow	amecro	0.4645	/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_115000_SSW06.WAV	186.0
18	Spectrogram 1	1	189.0	192.0	0	15000	Red-eyed Vireo	reevir1	0.3957	/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_115000_SSW06.WAV	189.0
19	Spectrogram 1	1	195.0	198.0	0	15000	Red-eyed Vireo	reevir1	0.2820	/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_115000_SSW06.WAV	195.0
20	Spectrogram 1	1	198.0	201.0	0	15000	Red-eyed Vireo	reevir1	0.3465	/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_115000_SSW06.WAV	198.0
21	Spectrogram 1	1	210.0	213.0	0	15000	Red-eyed Vireo	reevir1	0.4100	/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_115000_SSW06.WAV	210.0
22	Spectrogram 1	1	213.0	216.0	0	15000	Red-eyed Vireo	reevir1	0.7647	/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_115000_SSW06.WAV	213.0
23	Spectrogram 1	1	213.0	216.0	0	15000	American Crow	amecro	0.3381	/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_115000_SSW06.WAV	213.0
24	Spectrogram 1	1	222.0	225.0	0	15000	Red-eyed Vireo	reevir1	0.4463	/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_115000_SSW06.WAV	222.0
25	Spectrogram 1	1	231.0	234.0	0	15000	Red-eyed Vireo	reevir1	0.3092	/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_115000_SSW06.WAV	231.0
26	Spectrogram 1	1	234.0	237.0	0	15000	Red-eyed Vireo	reevir1	0.6117	/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_115000_SSW06.WAV	234.0
27	Spectrogram 1	1	234.0	237.0	0	15000	American Crow	amecro	0.2825	/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_115000_SSW06.WAV	234.0
28	Spectrogram 1	1	237.0	240.0	0	15000	Red-eyed Vireo	reevir1	0.3047	/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_115000_SSW06.WAV	237.0
29	Spectrogram 1	1	240.0	243.0	0	15000	Red-eyed Vireo	reevir1	0.7562	/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_115000_SSW06.WAV	240.0
30	Spectrogram 1	1	240.0	243.0	0	15000	American Crow	amecro	0.2554	/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_115000_SSW06.WAV	240.0
31	Spectrogram 1	1	243.0	246.0	0	15000	Red-eyed Vireo	reevir1	0.2769	/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_115000_SSW06.WAV	243.0
32	Spectrogram 1	1	246.0	249.0	0	15000	Red-eyed Vireo	reevir1	0.4297	/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_115000_SSW06.WAV	246.0
33	Spectrogram 1	1	252.0	255.0	0	15000	Yellow-bellied Sapsucker	yebsap	0.8449	/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_115000_SSW06.WAV	252.0
34	Spectrogram 1	1	255.0	258.0	0	15000	Yellow-bellied Sapsucker	yebsap	0.9175	/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_115000_SSW06.WAV	255.0
35	Spectrogram 1	1	258.0	261.0	0	15000	Red-eyed Vireo	reevir1	0.3137	/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_115000_SSW06.WAV	258.0
36	Spectrogram 1	1	261.0	264.0	0	15000	Red-eyed Vireo	reevir1	0.4808	/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_115000_SSW06.WAV	261.0
37	Spectrogram 1	1	264.0	267.0	0	15000	Red-eyed Vireo	reevir1	0.3551	/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_115000_SSW06.WAV	264.0
38	Spectrogram 1	1	267.0	270.0	0	15000	Red-eyed Vireo	reevir1	0.4006	/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_115000_SSW06.WAV	267.0
39	Spectrogram 1	1	270.0	273.0	0	15000	Red-eyed Vireo	reevir1	0.3737	/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_115000_SSW06.WAV	270.0
40	Spectrogram 1	1	273.0	276.0	0	15000	Red-eyed Vireo	reevir1	0.7878	/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_115000_SSW06.WAV	273.0
41	Spectrogram 1	1	273.0	276.0	0	15000	American Crow	amecro	0.6056	/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_115000_SSW06.WAV	273.0
42	Spectrogram 1	1	285.0	288.0	0	15000	Red-eyed Vireo	reevir1	0.8125	/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_115000_SSW06.WAV	285.0
43	Spectrogram 1	1	285.0	288.0	0	15000	American Crow	amecro	0.3663	/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_115000_SSW06.WAV	285.0
44	Spectrogram 1	1	291.0	294.0	0	15000	Red-eyed Vireo	reevir1	0.8141	/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_115000_SSW06.WAV	291.0
