Start (s),End (s),Scientific name,Common name,Confidence,File
0.0,3.0,Dumetella carolinensis,Gray Catbird,0.1371,/Users/lillianwang/Downloads/Original Wave Files/20250611-071032_SSW01.WAV
6.0,9.0,Cyanocitta cristata,Blue Jay,0.3091,/Users/lillianwang/Downloads/Original Wave Files/20250611-071032_SSW01.WAV
7.5,10.5,Cyanocitta cristata,Blue Jay,0.2199,/Users/lillianwang/Downloads/Original Wave Files/20250611-071032_SSW01.WAV
9.0,12.0,Cyanocitta cristata,Blue Jay,0.1951,/Users/lillianwang/Downloads/Original Wave Files/20250611-071032_SSW01.WAV
10.5,13.5,Cyanocitta cristata,Blue Jay,0.1450,/Users/lillianwang/Downloads/Original Wave Files/20250611-071032_SSW01.WAV
10.5,13.5,Dumetella carolinensis,Gray Catbird,0.1123,/Users/lillianwang/Downloads/Original Wave Files/20250611-071032_SSW01.WAV
12.0,15.0,Contopus virens,Eastern Wood-Pewee,0.2330,/Users/lillianwang/Downloads/Original Wave Files/20250611-071032_SSW01.WAV
12.0,15.0,Vireo olivaceus,Red-eyed Vireo,0.1670,/Users/lillianwang/Downloads/Original Wave Files/20250611-071032_SSW01.WAV
12.0,15.0,Setophaga citrina,Hooded Warbler,0.1164,/Users/lillianwang/Downloads/Original Wave Files/20250611-071032_SSW01.WAV
15.0,18.0,Contopus virens,Eastern Wood-Pewee,0.1374,/Users/lillianwang/Downloads/Original Wave Files/20250611-071032_SSW01.WAV
15.0,18.0,Geothlypis trichas,Common Yellowthroat,0.1208,/Users/lillianwang/Downloads/Original Wave Files/20250611-071032_SSW01.WAV
16.5,19.5,Contopus virens,Eastern Wood-Pewee,0.2061,/Users/lillianwang/Downloads/Original Wave Files/20250611-071032_SSW01.WAV
16.5,19.5,Setophaga citrina,Hooded Warbler,0.1875,/Users/lillianwang/Downloads/Original Wave Files/20250611-071032_SSW01.WAV
19.5,22.5,Contopus virens,Eastern Wood-Pewee,0.1992,/Users/lillianwang/Downloads/Original Wave Files/20250611-071032_SSW01.WAV
21.0,24.0,Contopus virens,Eastern Wood-Pewee,0.2035,/Users/lillianwang/Downloads/Original Wave Files/20250611-071032_SSW01.WAV
21.0,24.0,Setophaga citrina,Hooded Warbler,0.1008,/Users/lillianwang/Downloads/Original Wave Files/20250611-071032_SSW01.WAV
24.0,27.0,Geothlypis trichas,Common Yellowthroat,0.3069,/Users/lillianwang/Downloads/Original Wave Files/20250611-071032_SSW01.WAV
24.0,27.0,Dumetella carolinensis,Gray Catbird,0.1430,/Users/lillianwang/Downloads/Original Wave Files/20250611-071032_SSW01.WAV
25.5,28.5,Contopus virens,Eastern Wood-Pewee,0.2187,/Users/lillianwang/Downloads/Original Wave Files/20250611-071032_SSW01.WAV
25.5,28.5,Seiurus aurocapilla,Ovenbird,0.1042,/Users/lillianwang/Downloads/Original Wave Files/20250611-071032_SSW01.WAV
27.0,30.0,Contopus virens,Eastern Wood-Pewee,0.2406,/Users/lillianwang/Downloads/Original Wave Files/20250611-071032_SSW01.WAV
28.5,31.5,Contopus virens,Eastern Wood-Pewee,0.5847,/Users/lillianwang/Downloads/Original Wave Files/20250611-071032_SSW01.WAV
30.0,33.0,Contopus virens,Eastern Wood-Pewee,0.5315,/Users/lillianwang/Downloads/Original Wave Files/20250611-071032_SSW01.WAV
31.5,34.5,Contopus virens,Eastern Wood-Pewee,0.3615,/Users/lillianwang/Downloads/Original Wave Files/20250611-071032_SSW01.WAV
33.0,36.0,Contopus virens,Eastern Wood-Pewee,0.2899,/Users/lillianwang/Downloads/Original Wave Files/20250611-071032_SSW01.WAV
34.5,37.5,Contopus virens,Eastern Wood-Pewee,0.2419,/Users/lillianwang/Downloads/Original Wave Files/20250611-071032_SSW01.WAV
34.5,37.5,Geothlypis trichas,Common Yellowthroat,0.1044,/Users/lillianwang/Downloads/Original Wave Files/20250611-071032_SSW01.WAV
36.0,39.0,Geothlypis trichas,Common Yellowthroat,0.1018,/Users/lillianwang/Downloads/Original Wave Files/20250611-071032_SSW01.WAV
37.5,40.5,Contopus virens,Eastern Wood-Pewee,0.3876,/Users/lillianwang/Downloads/Original Wave Files/20250611-071032_SSW01.WAV
37.5,40.5,Setophaga citrina,Hooded Warbler,0.1375,/Users/lillianwang/Downloads/Original Wave Files/20250611-071032_SSW01.WAV
39.0,42.0,Melanerpes carolinus,Red-bellied Woodpecker,0.4139,/Users/lillianwang/Downloads/Original Wave Files/20250611-071032_SSW01.WAV
42.0,45.0,Geothlypis trichas,Common Yellowthroat,0.1830,/Users/lillianwang/Downloads/Original Wave Files/20250611-071032_SSW01.WAV
43.5,46.5,Melanerpes carolinus,Red-bellied Woodpecker,0.2660,/Users/lillianwang/Downloads/Original Wave Files/20250611-071032_SSW01.WAV
43.5,46.5,Geothlypis trichas,Common Yellowthroat,0.1440,/Users/lillianwang/Downloads/Original Wave Files/20250611-071032_SSW01.WAV
45.0,48.0,Contopus virens,Eastern Wood-Pewee,0.1145,/Users/lillianwang/Downloads/Original Wave Files/20250611-071032_SSW01.WAV
46.5,49.5,Contopus virens,Eastern Wood-Pewee,0.2180,/Users/lillianwang/Downloads/Original Wave Files/20250611-071032_SSW01.WAV
48.0,51.0,Contopus virens,Eastern Wood-Pewee,0.4081,/Users/lillianwang/Downloads/Original Wave Files/20250611-071032_SSW01.WAV
48.0,51.0,Melanerpes carolinus,Red-bellied Woodpecker,0.1636,/Users/lillianwang/Downloads/Original Wave Files/20250611-071032_SSW01.WAV
49.5,52.5,Melanerpes carolinus,Red-bellied Woodpecker,0.1699,/Users/lillianwang/Downloads/Original Wave Files/20250611-071032_SSW01.WAV
49.5,52.5,Contopus virens,Eastern Wood-Pewee,0.1238,/Users/lillianwang/Downloads/Original Wave Files/20250611-071032_SSW01.WAV
49.5,52.5,Myiarchus crinitus,Great Crested Flycatcher,0.1194,/Users/lillianwang/Downloads/Original Wave Files/20250611-071032_SSW01.WAV
51.0,54.0,Contopus virens,Eastern Wood-Pewee,0.1898,/Users/lillianwang/Downloads/Original Wave Files/20250611-071032_SSW01.WAV
51.0,54.0,Melanerpes carolinus,Red-bellied Woodpecker,0.1549,/Users/lillianwang/Downloads/Original Wave Files/20250611-071032_SSW01.WAV
52.5,55.5,Melanerpes carolinus,Red-bellied Woodpecker,0.2843,/Users/lillianwang/Downloads/Original Wave Files/20250611-071032_SSW01.WAV
52.5,55.5,Contopus virens,Eastern Wood-Pewee,0.2156,/Users/lillianwang/Downloads/Original Wave Files/20250611-071032_SSW01.WAV
54.0,57.0,Geothlypis trichas,Common Yellowthroat,0.3275,/Users/lillianwang/Downloads/Original Wave Files/20250611-071032_SSW01.WAV
55.5,58.5,Geothlypis trichas,Common Yellowthroat,0.1999,/Users/lillianwang/Downloads/Original Wave Files/20250611-071032_SSW01.WAV
58.5,61.5,Contopus virens,Eastern Wood-Pewee,0.2192,/Users/lillianwang/Downloads/Original Wave Files/20250611-071032_SSW01.WAV
60.0,63.0,Vireo olivaceus,Red-eyed Vireo,0.1745,/Users/lillianwang/Downloads/Original Wave Files/20250611-071032_SSW01.WAV
60.0,63.0,Contopus virens,Eastern Wood-Pewee,0.1637,/Users/lillianwang/Downloads/Original Wave Files/20250611-071032_SSW01.WAV
69.0,72.0,Vireo olivaceus,Red-eyed Vireo,0.1585,/Users/lillianwang/Downloads/Original Wave Files/20250611-071032_SSW01.WAV
75.0,78.0,Geothlypis trichas,Common Yellowthroat,0.1204,/Users/lillianwang/Downloads/Original Wave Files/20250611-071032_SSW01.WAV
76.5,79.5,Geothlypis trichas,Common Yellowthroat,0.2365,/Users/lillianwang/Downloads/Original Wave Files/20250611-071032_SSW01.WAV
78.0,81.0,Contopus virens,Eastern Wood-Pewee,0.1644,/Users/lillianwang/Downloads/Original Wave Files/20250611-071032_SSW01.WAV
79.5,82.5,Melanerpes carolinus,Red-bellied Woodpecker,0.2118,/Users/lillianwang/Downloads/Original Wave Files/20250611-071032_SSW01.WAV
81.0,84.0,Melanerpes carolinus,Red-bellied Woodpecker,0.3066,/Users/lillianwang/Downloads/Original Wave Files/20250611-071032_SSW01.WAV
81.0,84.0,Contopus virens,Eastern Wood-Pewee,0.2220,/Users/lillianwang/Downloads/Original Wave Files/20250611-071032_SSW01.WAV
84.0,87.0,Geothlypis trichas,Common Yellowthroat,0.1545,/Users/lillianwang/Downloads/Original Wave Files/20250611-071032_SSW01.WAV
87.0,90.0,Contopus virens,Eastern Wood-Pewee,0.2662,/Users/lillianwang/Downloads/Original Wave Files/20250611-071032_SSW01.WAV
88.5,91.5,Contopus virens,Eastern Wood-Pewee,0.1421,/Users/lillianwang/Downloads/Original Wave Files/20250611-071032_SSW01.WAV
90.0,93.0,Contopus virens,Eastern Wood-Pewee,0.1305,/Users/lillianwang/Downloads/Original Wave Files/20250611-071032_SSW01.WAV
93.0,96.0,Melanerpes carolinus,Red-bellied Woodpecker,0.3470,/Users/lillianwang/Downloads/Original Wave Files/20250611-071032_SSW01.WAV
93.0,96.0,Myiarchus crinitus,Great Crested Flycatcher,0.1459,/Users/lillianwang/Downloads/Original Wave Files/20250611-071032_SSW01.WAV
94.5,97.5,Melanerpes carolinus,Red-bellied Woodpecker,0.4151,/Users/lillianwang/Downloads/Original Wave Files/20250611-071032_SSW01.WAV
96.0,99.0,Dumetella carolinensis,Gray Catbird,0.2678,/Users/lillianwang/Downloads/Original Wave Files/20250611-071032_SSW01.WAV
96.0,99.0,Contopus virens,Eastern Wood-Pewee,0.2120,/Users/lillianwang/Downloads/Original Wave Files/20250611-071032_SSW01.WAV
97.5,100.5,Geothlypis trichas,Common Yellowthroat,0.1999,/Users/lillianwang/Downloads/Original Wave Files/20250611-071032_SSW01.WAV
99.0,102.0,Geothlypis trichas,Common Yellowthroat,0.2308,/Users/lillianwang/Downloads/Original Wave Files/20250611-071032_SSW01.WAV
100.5,103.5,Geothlypis trichas,Common Yellowthroat,0.1067,/Users/lillianwang/Downloads/Original Wave Files/20250611-071032_SSW01.WAV
102.0,105.0,Contopus virens,Eastern Wood-Pewee,0.2735,/Users/lillianwang/Downloads/Original Wave Files/20250611-071032_SSW01.WAV
103.5,106.5,Contopus virens,Eastern Wood-Pewee,0.1222,/Users/lillianwang/Downloads/Original Wave Files/20250611-071032_SSW01.WAV
105.0,108.0,Contopus virens,Eastern Wood-Pewee,0.1642,/Users/lillianwang/Downloads/Original Wave Files/20250611-071032_SSW01.WAV
105.0,108.0,Setophaga citrina,Hooded Warbler,0.1501,/Users/lillianwang/Downloads/Original Wave Files/20250611-071032_SSW01.WAV
105.0,108.0,Setophaga caerulescens,Black-throated Blue Warbler,0.1010,/Users/lillianwang/Downloads/Original Wave Files/20250611-071032_SSW01.WAV
108.0,111.0,Geothlypis trichas,Common Yellowthroat,0.2268,/Users/lillianwang/Downloads/Original Wave Files/20250611-071032_SSW01.WAV
109.5,112.5,Geothlypis trichas,Common Yellowthroat,0.1295,/Users/lillianwang/Downloads/Original Wave Files/20250611-071032_SSW01.WAV
115.5,118.5,Setophaga citrina,Hooded Warbler,0.1074,/Users/lillianwang/Downloads/Original Wave Files/20250611-071032_SSW01.WAV
118.5,121.5,Melospiza melodia,Song Sparrow,0.2763,/Users/lillianwang/Downloads/Original Wave Files/20250611-071032_SSW01.WAV
120.0,123.0,Melospiza melodia,Song Sparrow,0.2006,/Users/lillianwang/Downloads/Original Wave Files/20250611-071032_SSW01.WAV
121.5,124.5,Corvus brachyrhynchos,American Crow,0.8452,/Users/lillianwang/Downloads/Original Wave Files/20250611-071032_SSW01.WAV
121.5,124.5,Vireo olivaceus,Red-eyed Vireo,0.2709,/Users/lillianwang/Downloads/Original Wave Files/20250611-071032_SSW01.WAV
121.5,124.5,Molothrus ater,Brown-headed Cowbird,0.1592,/Users/lillianwang/Downloads/Original Wave Files/20250611-071032_SSW01.WAV
121.5,124.5,Dumetella carolinensis,Gray Catbird,0.1406,/Users/lillianwang/Downloads/Original Wave Files/20250611-071032_SSW01.WAV
123.0,126.0,Corvus brachyrhynchos,American Crow,0.2834,/Users/lillianwang/Downloads/Original Wave Files/20250611-071032_SSW01.WAV
123.0,126.0,Vireo olivaceus,Red-eyed Vireo,0.1034,/Users/lillianwang/Downloads/Original Wave Files/20250611-071032_SSW01.WAV
126.0,129.0,Geothlypis trichas,Common Yellowthroat,0.2274,/Users/lillianwang/Downloads/Original Wave Files/20250611-071032_SSW01.WAV
126.0,129.0,Icterus galbula,Baltimore Oriole,0.1019,/Users/lillianwang/Downloads/Original Wave Files/20250611-071032_SSW01.WAV
127.5,130.5,Geothlypis trichas,Common Yellowthroat,0.1088,/Users/lillianwang/Downloads/Original Wave Files/20250611-071032_SSW01.WAV
132.0,135.0,Dumetella carolinensis,Gray Catbird,0.5489,/Users/lillianwang/Downloads/Original Wave Files/20250611-071032_SSW01.WAV
133.5,136.5,Melospiza melodia,Song Sparrow,0.7170,/Users/lillianwang/Downloads/Original Wave Files/20250611-071032_SSW01.WAV
135.0,138.0,Melospiza melodia,Song Sparrow,0.4684,/Users/lillianwang/Downloads/Original Wave Files/20250611-071032_SSW01.WAV
135.0,138.0,Geothlypis trichas,Common Yellowthroat,0.1086,/Users/lillianwang/Downloads/Original Wave Files/20250611-071032_SSW01.WAV
