Start (s),End (s),Scientific name,Common name,Confidence,File
0.0,3.0,Myiarchus crinitus,Great Crested Flycatcher,0.1408,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_120600_SSW07.WAV
24.0,27.0,Myiarchus crinitus,Great Crested Flycatcher,0.3884,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_120600_SSW07.WAV
25.5,28.5,Myiarchus crinitus,Great Crested Flycatcher,0.6455,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_120600_SSW07.WAV
31.5,34.5,Myiarchus crinitus,Great Crested Flycatcher,0.7028,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_120600_SSW07.WAV
36.0,39.0,Myiarchus crinitus,Great Crested Flycatcher,0.4321,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_120600_SSW07.WAV
42.0,45.0,Myiarchus crinitus,Great Crested Flycatcher,0.1987,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_120600_SSW07.WAV
48.0,51.0,Myiarchus crinitus,Great Crested Flycatcher,0.5815,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_120600_SSW07.WAV
49.5,52.5,Myiarchus crinitus,Great Crested Flycatcher,0.1843,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_120600_SSW07.WAV
52.5,55.5,Catharus fuscescens,Veery,0.1733,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_120600_SSW07.WAV
54.0,57.0,Myiarchus crinitus,Great Crested Flycatcher,0.2337,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_120600_SSW07.WAV
55.5,58.5,Myiarchus crinitus,Great Crested Flycatcher,0.1461,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_120600_SSW07.WAV
58.5,61.5,Catharus fuscescens,Veery,0.1664,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_120600_SSW07.WAV
60.0,63.0,Myiarchus crinitus,Great Crested Flycatcher,0.2282,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_120600_SSW07.WAV
61.5,64.5,Myiarchus crinitus,Great Crested Flycatcher,0.1962,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_120600_SSW07.WAV
67.5,70.5,Catharus fuscescens,Veery,0.2539,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_120600_SSW07.WAV
69.0,72.0,Catharus fuscescens,Veery,0.1409,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_120600_SSW07.WAV
70.5,73.5,Myiarchus crinitus,Great Crested Flycatcher,0.5117,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_120600_SSW07.WAV
70.5,73.5,Cardinalis cardinalis,Northern Cardinal,0.1002,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_120600_SSW07.WAV
72.0,75.0,Myiarchus crinitus,Great Crested Flycatcher,0.5617,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_120600_SSW07.WAV
76.5,79.5,Cardinalis cardinalis,Northern Cardinal,0.1103,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_120600_SSW07.WAV
76.5,79.5,Myiarchus crinitus,Great Crested Flycatcher,0.1101,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_120600_SSW07.WAV
78.0,81.0,Myiarchus crinitus,Great Crested Flycatcher,0.1112,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_120600_SSW07.WAV
79.5,82.5,Cardinalis cardinalis,Northern Cardinal,0.1346,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_120600_SSW07.WAV
87.0,90.0,Catharus fuscescens,Veery,0.2044,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_120600_SSW07.WAV
87.0,90.0,Myiarchus crinitus,Great Crested Flycatcher,0.1775,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_120600_SSW07.WAV
90.0,93.0,Catharus fuscescens,Veery,0.2587,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_120600_SSW07.WAV
91.5,94.5,Myiarchus crinitus,Great Crested Flycatcher,0.1148,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_120600_SSW07.WAV
108.0,111.0,Branta canadensis,Canada Goose,0.1393,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_120600_SSW07.WAV
109.5,112.5,Branta canadensis,Canada Goose,0.1227,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_120600_SSW07.WAV
109.5,112.5,Corvus brachyrhynchos,American Crow,0.1004,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_120600_SSW07.WAV
111.0,114.0,Melanerpes carolinus,Red-bellied Woodpecker,0.5008,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_120600_SSW07.WAV
118.5,121.5,Myiarchus crinitus,Great Crested Flycatcher,0.2991,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_120600_SSW07.WAV
120.0,123.0,Myiarchus crinitus,Great Crested Flycatcher,0.1767,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_120600_SSW07.WAV
133.5,136.5,Spinus tristis,American Goldfinch,0.1339,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_120600_SSW07.WAV
136.5,139.5,Quiscalus quiscula,Common Grackle,0.5659,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_120600_SSW07.WAV
141.0,144.0,Quiscalus quiscula,Common Grackle,0.1099,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_120600_SSW07.WAV
142.5,145.5,Quiscalus quiscula,Common Grackle,0.4996,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_120600_SSW07.WAV
144.0,147.0,Quiscalus quiscula,Common Grackle,0.2722,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_120600_SSW07.WAV
154.5,157.5,Quiscalus quiscula,Common Grackle,0.2232,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_120600_SSW07.WAV
154.5,157.5,Cardinalis cardinalis,Northern Cardinal,0.1669,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_120600_SSW07.WAV
156.0,159.0,Quiscalus quiscula,Common Grackle,0.1501,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_120600_SSW07.WAV
157.5,160.5,Quiscalus quiscula,Common Grackle,0.1318,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_120600_SSW07.WAV
163.5,166.5,Quiscalus quiscula,Common Grackle,0.1101,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_120600_SSW07.WAV
165.0,168.0,Quiscalus quiscula,Common Grackle,0.1920,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_120600_SSW07.WAV
166.5,169.5,Quiscalus quiscula,Common Grackle,0.1199,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_120600_SSW07.WAV
189.0,192.0,Catharus fuscescens,Veery,0.1330,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_120600_SSW07.WAV
189.0,192.0,Geothlypis trichas,Common Yellowthroat,0.1201,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_120600_SSW07.WAV
190.5,193.5,Geothlypis trichas,Common Yellowthroat,0.3617,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_120600_SSW07.WAV
198.0,201.0,Geothlypis trichas,Common Yellowthroat,0.1088,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_120600_SSW07.WAV
199.5,202.5,Geothlypis trichas,Common Yellowthroat,0.2543,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_120600_SSW07.WAV
201.0,204.0,Quiscalus quiscula,Common Grackle,0.2337,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_120600_SSW07.WAV
201.0,204.0,Agelaius phoeniceus,Red-winged Blackbird,0.1620,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_120600_SSW07.WAV
207.0,210.0,Geothlypis trichas,Common Yellowthroat,0.1104,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_120600_SSW07.WAV
213.0,216.0,Troglodytes aedon,House Wren,0.1531,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_120600_SSW07.WAV
223.5,226.5,Geothlypis trichas,Common Yellowthroat,0.1614,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_120600_SSW07.WAV
225.0,228.0,Seiurus aurocapilla,Ovenbird,0.1399,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_120600_SSW07.WAV
231.0,234.0,Quiscalus quiscula,Common Grackle,0.1222,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_120600_SSW07.WAV
235.5,238.5,Geothlypis trichas,Common Yellowthroat,0.3031,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_120600_SSW07.WAV
247.5,250.5,Geothlypis trichas,Common Yellowthroat,0.4098,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_120600_SSW07.WAV
249.0,252.0,Catharus fuscescens,Veery,0.1437,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_120600_SSW07.WAV
256.5,259.5,Seiurus aurocapilla,Ovenbird,0.3972,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_120600_SSW07.WAV
262.5,265.5,Spinus tristis,American Goldfinch,0.2309,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_120600_SSW07.WAV
264.0,267.0,Spinus tristis,American Goldfinch,0.1974,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_120600_SSW07.WAV
264.0,267.0,Catharus fuscescens,Veery,0.1937,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_120600_SSW07.WAV
265.5,268.5,Catharus fuscescens,Veery,0.3243,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_120600_SSW07.WAV
271.5,274.5,Spinus tristis,American Goldfinch,0.5183,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_120600_SSW07.WAV
273.0,276.0,Spinus tristis,American Goldfinch,0.4842,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_120600_SSW07.WAV
274.5,277.5,Spinus tristis,American Goldfinch,0.1654,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_120600_SSW07.WAV
276.0,279.0,Spinus tristis,American Goldfinch,0.2066,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_120600_SSW07.WAV
282.0,285.0,Catharus fuscescens,Veery,0.2252,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_120600_SSW07.WAV
285.0,288.0,Agelaius phoeniceus,Red-winged Blackbird,0.2714,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_120600_SSW07.WAV
285.0,288.0,Spinus tristis,American Goldfinch,0.2371,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_120600_SSW07.WAV
286.5,289.5,Passerina cyanea,Indigo Bunting,0.1115,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_120600_SSW07.WAV
292.5,295.5,Geothlypis trichas,Common Yellowthroat,0.2612,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_120600_SSW07.WAV
292.5,295.5,Agelaius phoeniceus,Red-winged Blackbird,0.1197,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_120600_SSW07.WAV
304.5,307.5,Geothlypis trichas,Common Yellowthroat,0.1204,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_120600_SSW07.WAV
