Start (s),End (s),Scientific name,Common name,Confidence,File
66.0,69.0,Bombycilla cedrorum,Cedar Waxwing,0.2582,/Users/lillianwang/Downloads/research/kate 25-4-23/BirdCallRate01_048K_SibleyRegional_ZoomRecorder_20250423_075656.flac
67.5,70.5,Bombycilla cedrorum,Cedar Waxwing,0.1397,/Users/lillianwang/Downloads/research/kate 25-4-23/BirdCallRate01_048K_SibleyRegional_ZoomRecorder_20250423_075656.flac
120.0,123.0,Certhia americana,Brown Creeper,0.1391,/Users/lillianwang/Downloads/research/kate 25-4-23/BirdCallRate01_048K_SibleyRegional_ZoomRecorder_20250423_075656.flac
