Start (s),End (s),Scientific name,Common name,Confidence,File
21.0,24.0,Myiarchus crinitus,Great Crested Flycatcher,0.6066,/Users/lillianwang/Downloads/Original Wave Files/20250611-095124_SSW07.WAV
22.5,25.5,Myiarchus crinitus,Great Crested Flycatcher,0.2426,/Users/lillianwang/Downloads/Original Wave Files/20250611-095124_SSW07.WAV
28.5,31.5,Myiarchus crinitus,Great Crested Flycatcher,0.5641,/Users/lillianwang/Downloads/Original Wave Files/20250611-095124_SSW07.WAV
30.0,33.0,Myiarchus crinitus,Great Crested Flycatcher,0.4478,/Users/lillianwang/Downloads/Original Wave Files/20250611-095124_SSW07.WAV
31.5,34.5,Myiarchus crinitus,Great Crested Flycatcher,0.6012,/Users/lillianwang/Downloads/Original Wave Files/20250611-095124_SSW07.WAV
36.0,39.0,Vireo flavifrons,Yellow-throated Vireo,0.3405,/Users/lillianwang/Downloads/Original Wave Files/20250611-095124_SSW07.WAV
45.0,48.0,Myiarchus crinitus,Great Crested Flycatcher,0.2352,/Users/lillianwang/Downloads/Original Wave Files/20250611-095124_SSW07.WAV
61.5,64.5,Quiscalus quiscula,Common Grackle,0.6471,/Users/lillianwang/Downloads/Original Wave Files/20250611-095124_SSW07.WAV
67.5,70.5,Geothlypis trichas,Common Yellowthroat,0.1840,/Users/lillianwang/Downloads/Original Wave Files/20250611-095124_SSW07.WAV
69.0,72.0,Geothlypis trichas,Common Yellowthroat,0.2617,/Users/lillianwang/Downloads/Original Wave Files/20250611-095124_SSW07.WAV
70.5,73.5,Myiarchus crinitus,Great Crested Flycatcher,0.9838,/Users/lillianwang/Downloads/Original Wave Files/20250611-095124_SSW07.WAV
72.0,75.0,Myiarchus crinitus,Great Crested Flycatcher,0.9953,/Users/lillianwang/Downloads/Original Wave Files/20250611-095124_SSW07.WAV
73.5,76.5,Myiarchus crinitus,Great Crested Flycatcher,0.8810,/Users/lillianwang/Downloads/Original Wave Files/20250611-095124_SSW07.WAV
75.0,78.0,Myiarchus crinitus,Great Crested Flycatcher,0.9389,/Users/lillianwang/Downloads/Original Wave Files/20250611-095124_SSW07.WAV
76.5,79.5,Myiarchus crinitus,Great Crested Flycatcher,0.1911,/Users/lillianwang/Downloads/Original Wave Files/20250611-095124_SSW07.WAV
78.0,81.0,Myiarchus crinitus,Great Crested Flycatcher,0.5071,/Users/lillianwang/Downloads/Original Wave Files/20250611-095124_SSW07.WAV
81.0,84.0,Cyanocitta cristata,Blue Jay,0.1190,/Users/lillianwang/Downloads/Original Wave Files/20250611-095124_SSW07.WAV
91.5,94.5,Myiarchus crinitus,Great Crested Flycatcher,0.1450,/Users/lillianwang/Downloads/Original Wave Files/20250611-095124_SSW07.WAV
93.0,96.0,Vireo olivaceus,Red-eyed Vireo,0.1519,/Users/lillianwang/Downloads/Original Wave Files/20250611-095124_SSW07.WAV
94.5,97.5,Geothlypis trichas,Common Yellowthroat,0.1781,/Users/lillianwang/Downloads/Original Wave Files/20250611-095124_SSW07.WAV
94.5,97.5,Myiarchus crinitus,Great Crested Flycatcher,0.1558,/Users/lillianwang/Downloads/Original Wave Files/20250611-095124_SSW07.WAV
99.0,102.0,Myiarchus crinitus,Great Crested Flycatcher,0.3924,/Users/lillianwang/Downloads/Original Wave Files/20250611-095124_SSW07.WAV
100.5,103.5,Myiarchus crinitus,Great Crested Flycatcher,0.2683,/Users/lillianwang/Downloads/Original Wave Files/20250611-095124_SSW07.WAV
102.0,105.0,Myiarchus crinitus,Great Crested Flycatcher,0.1040,/Users/lillianwang/Downloads/Original Wave Files/20250611-095124_SSW07.WAV
112.5,115.5,Myiarchus crinitus,Great Crested Flycatcher,0.2005,/Users/lillianwang/Downloads/Original Wave Files/20250611-095124_SSW07.WAV
115.5,118.5,Vireo olivaceus,Red-eyed Vireo,0.2760,/Users/lillianwang/Downloads/Original Wave Files/20250611-095124_SSW07.WAV
126.0,129.0,Geothlypis trichas,Common Yellowthroat,0.4120,/Users/lillianwang/Downloads/Original Wave Files/20250611-095124_SSW07.WAV
127.5,130.5,Geothlypis trichas,Common Yellowthroat,0.2872,/Users/lillianwang/Downloads/Original Wave Files/20250611-095124_SSW07.WAV
130.5,133.5,Dumetella carolinensis,Gray Catbird,0.1161,/Users/lillianwang/Downloads/Original Wave Files/20250611-095124_SSW07.WAV
132.0,135.0,Dumetella carolinensis,Gray Catbird,0.1093,/Users/lillianwang/Downloads/Original Wave Files/20250611-095124_SSW07.WAV
133.5,136.5,Seiurus aurocapilla,Ovenbird,0.2416,/Users/lillianwang/Downloads/Original Wave Files/20250611-095124_SSW07.WAV
133.5,136.5,Geothlypis trichas,Common Yellowthroat,0.1104,/Users/lillianwang/Downloads/Original Wave Files/20250611-095124_SSW07.WAV
135.0,138.0,Geothlypis trichas,Common Yellowthroat,0.3591,/Users/lillianwang/Downloads/Original Wave Files/20250611-095124_SSW07.WAV
136.5,139.5,Geothlypis trichas,Common Yellowthroat,0.2007,/Users/lillianwang/Downloads/Original Wave Files/20250611-095124_SSW07.WAV
138.0,141.0,Geothlypis trichas,Common Yellowthroat,0.3658,/Users/lillianwang/Downloads/Original Wave Files/20250611-095124_SSW07.WAV
138.0,141.0,Dumetella carolinensis,Gray Catbird,0.1967,/Users/lillianwang/Downloads/Original Wave Files/20250611-095124_SSW07.WAV
139.5,142.5,Dumetella carolinensis,Gray Catbird,0.3999,/Users/lillianwang/Downloads/Original Wave Files/20250611-095124_SSW07.WAV
141.0,144.0,Dumetella carolinensis,Gray Catbird,0.3987,/Users/lillianwang/Downloads/Original Wave Files/20250611-095124_SSW07.WAV
141.0,144.0,Vireo olivaceus,Red-eyed Vireo,0.1708,/Users/lillianwang/Downloads/Original Wave Files/20250611-095124_SSW07.WAV
141.0,144.0,Myiarchus crinitus,Great Crested Flycatcher,0.1201,/Users/lillianwang/Downloads/Original Wave Files/20250611-095124_SSW07.WAV
