Start (s),End (s),Scientific name,Common name,Confidence,File
0.0,3.0,Agelaius phoeniceus,Red-winged Blackbird,0.2689,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_111100_SSW04.WAV
1.5,4.5,Agelaius phoeniceus,Red-winged Blackbird,0.4037,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_111100_SSW04.WAV
3.0,6.0,Agelaius phoeniceus,Red-winged Blackbird,0.2950,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_111100_SSW04.WAV
4.5,7.5,Agelaius phoeniceus,Red-winged Blackbird,0.2024,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_111100_SSW04.WAV
18.0,21.0,Agelaius phoeniceus,Red-winged Blackbird,0.1410,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_111100_SSW04.WAV
19.5,22.5,Agelaius phoeniceus,Red-winged Blackbird,0.3347,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_111100_SSW04.WAV
21.0,24.0,Agelaius phoeniceus,Red-winged Blackbird,0.2053,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_111100_SSW04.WAV
24.0,27.0,Agelaius phoeniceus,Red-winged Blackbird,0.1805,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_111100_SSW04.WAV
27.0,30.0,Agelaius phoeniceus,Red-winged Blackbird,0.1183,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_111100_SSW04.WAV
28.5,31.5,Setophaga petechia,Yellow Warbler,0.8687,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_111100_SSW04.WAV
30.0,33.0,Setophaga petechia,Yellow Warbler,0.3146,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_111100_SSW04.WAV
34.5,37.5,Piranga olivacea,Scarlet Tanager,0.1203,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_111100_SSW04.WAV
46.5,49.5,Melospiza georgiana,Swamp Sparrow,0.1358,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_111100_SSW04.WAV
51.0,54.0,Melospiza georgiana,Swamp Sparrow,0.1327,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_111100_SSW04.WAV
51.0,54.0,Agelaius phoeniceus,Red-winged Blackbird,0.1114,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_111100_SSW04.WAV
58.5,61.5,Spinus tristis,American Goldfinch,0.1599,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_111100_SSW04.WAV
60.0,63.0,Baeolophus bicolor,Tufted Titmouse,0.1859,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_111100_SSW04.WAV
61.5,64.5,Melospiza georgiana,Swamp Sparrow,0.1095,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_111100_SSW04.WAV
63.0,66.0,Melospiza georgiana,Swamp Sparrow,0.1215,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_111100_SSW04.WAV
66.0,69.0,Geothlypis trichas,Common Yellowthroat,0.1169,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_111100_SSW04.WAV
67.5,70.5,Spinus tristis,American Goldfinch,0.1041,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_111100_SSW04.WAV
69.0,72.0,Melospiza melodia,Song Sparrow,0.1794,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_111100_SSW04.WAV
69.0,72.0,Dumetella carolinensis,Gray Catbird,0.1613,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_111100_SSW04.WAV
70.5,73.5,Melospiza melodia,Song Sparrow,0.1105,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_111100_SSW04.WAV
75.0,78.0,Troglodytes aedon,House Wren,0.1847,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_111100_SSW04.WAV
81.0,84.0,Cardinalis cardinalis,Northern Cardinal,0.1349,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_111100_SSW04.WAV
81.0,84.0,Icterus galbula,Baltimore Oriole,0.1196,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_111100_SSW04.WAV
88.5,91.5,Geothlypis trichas,Common Yellowthroat,0.1051,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_111100_SSW04.WAV
100.5,103.5,Megaceryle alcyon,Belted Kingfisher,0.1734,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_111100_SSW04.WAV
100.5,103.5,Baeolophus bicolor,Tufted Titmouse,0.1304,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_111100_SSW04.WAV
102.0,105.0,Baeolophus bicolor,Tufted Titmouse,0.1053,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_111100_SSW04.WAV
103.5,106.5,Baeolophus bicolor,Tufted Titmouse,0.1212,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_111100_SSW04.WAV
106.5,109.5,Sialia sialis,Eastern Bluebird,0.9654,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_111100_SSW04.WAV
108.0,111.0,Sialia sialis,Eastern Bluebird,0.8734,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_111100_SSW04.WAV
111.0,114.0,Branta canadensis,Canada Goose,0.1036,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_111100_SSW04.WAV
114.0,117.0,Pipilo erythrophthalmus,Eastern Towhee,0.2372,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_111100_SSW04.WAV
115.5,118.5,Pipilo erythrophthalmus,Eastern Towhee,0.1960,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_111100_SSW04.WAV
117.0,120.0,Agelaius phoeniceus,Red-winged Blackbird,0.1202,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_111100_SSW04.WAV
118.5,121.5,Agelaius phoeniceus,Red-winged Blackbird,0.1196,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_111100_SSW04.WAV
121.5,124.5,Melospiza melodia,Song Sparrow,0.1109,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_111100_SSW04.WAV
124.5,127.5,Zenaida macroura,Mourning Dove,0.1070,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_111100_SSW04.WAV
