Start (s),End (s),Scientific name,Common name,Confidence,File
27.0,30.0,Geothlypis trichas,Common Yellowthroat,0.1623,/Users/lillianwang/Downloads/research/kate 25-4-23/BirdCallRate01_048K_SibleyRegional_ZoomRecorder_20250423_081530.flac
81.0,84.0,Cardinalis cardinalis,Northern Cardinal,0.1137,/Users/lillianwang/Downloads/research/kate 25-4-23/BirdCallRate01_048K_SibleyRegional_ZoomRecorder_20250423_081530.flac
82.5,85.5,Cardinalis cardinalis,Northern Cardinal,0.1645,/Users/lillianwang/Downloads/research/kate 25-4-23/BirdCallRate01_048K_SibleyRegional_ZoomRecorder_20250423_081530.flac
99.0,102.0,Junco hyemalis,Dark-eyed Junco,0.1007,/Users/lillianwang/Downloads/research/kate 25-4-23/BirdCallRate01_048K_SibleyRegional_ZoomRecorder_20250423_081530.flac
102.0,105.0,Sitta canadensis,Red-breasted Nuthatch,0.3785,/Users/lillianwang/Downloads/research/kate 25-4-23/BirdCallRate01_048K_SibleyRegional_ZoomRecorder_20250423_081530.flac
103.5,106.5,Cardinalis cardinalis,Northern Cardinal,0.1466,/Users/lillianwang/Downloads/research/kate 25-4-23/BirdCallRate01_048K_SibleyRegional_ZoomRecorder_20250423_081530.flac
106.5,109.5,Cardinalis cardinalis,Northern Cardinal,0.1455,/Users/lillianwang/Downloads/research/kate 25-4-23/BirdCallRate01_048K_SibleyRegional_ZoomRecorder_20250423_081530.flac
135.0,138.0,Sitta canadensis,Red-breasted Nuthatch,0.1097,/Users/lillianwang/Downloads/research/kate 25-4-23/BirdCallRate01_048K_SibleyRegional_ZoomRecorder_20250423_081530.flac
141.0,144.0,Junco hyemalis,Dark-eyed Junco,0.2179,/Users/lillianwang/Downloads/research/kate 25-4-23/BirdCallRate01_048K_SibleyRegional_ZoomRecorder_20250423_081530.flac
142.5,145.5,Sitta canadensis,Red-breasted Nuthatch,0.1802,/Users/lillianwang/Downloads/research/kate 25-4-23/BirdCallRate01_048K_SibleyRegional_ZoomRecorder_20250423_081530.flac
144.0,147.0,Sitta canadensis,Red-breasted Nuthatch,0.8084,/Users/lillianwang/Downloads/research/kate 25-4-23/BirdCallRate01_048K_SibleyRegional_ZoomRecorder_20250423_081530.flac
147.0,150.0,Junco hyemalis,Dark-eyed Junco,0.1920,/Users/lillianwang/Downloads/research/kate 25-4-23/BirdCallRate01_048K_SibleyRegional_ZoomRecorder_20250423_081530.flac
