Start (s),End (s),Scientific name,Common name,Confidence,File
6.0,9.0,Catharus guttatus,Hermit Thrush,0.1220,/Users/lillianwang/Downloads/research/kate 25-4-30/BirdCallRate01_048K_SibleyRegional_ZoomRecorder_20250430_072322.flac
13.5,16.5,Polioptila caerulea,Blue-gray Gnatcatcher,0.1229,/Users/lillianwang/Downloads/research/kate 25-4-30/BirdCallRate01_048K_SibleyRegional_ZoomRecorder_20250430_072322.flac
22.5,25.5,Poecile atricapillus,Black-capped Chickadee,0.1597,/Users/lillianwang/Downloads/research/kate 25-4-30/BirdCallRate01_048K_SibleyRegional_ZoomRecorder_20250430_072322.flac
37.5,40.5,Agelaius phoeniceus,Red-winged Blackbird,0.1835,/Users/lillianwang/Downloads/research/kate 25-4-30/BirdCallRate01_048K_SibleyRegional_ZoomRecorder_20250430_072322.flac
39.0,42.0,Agelaius phoeniceus,Red-winged Blackbird,0.1093,/Users/lillianwang/Downloads/research/kate 25-4-30/BirdCallRate01_048K_SibleyRegional_ZoomRecorder_20250430_072322.flac
48.0,51.0,Agelaius phoeniceus,Red-winged Blackbird,0.1360,/Users/lillianwang/Downloads/research/kate 25-4-30/BirdCallRate01_048K_SibleyRegional_ZoomRecorder_20250430_072322.flac
55.5,58.5,Accipiter cooperii,Cooper's Hawk,0.2401,/Users/lillianwang/Downloads/research/kate 25-4-30/BirdCallRate01_048K_SibleyRegional_ZoomRecorder_20250430_072322.flac
57.0,60.0,Accipiter cooperii,Cooper's Hawk,0.1674,/Users/lillianwang/Downloads/research/kate 25-4-30/BirdCallRate01_048K_SibleyRegional_ZoomRecorder_20250430_072322.flac
58.5,61.5,Accipiter cooperii,Cooper's Hawk,0.2695,/Users/lillianwang/Downloads/research/kate 25-4-30/BirdCallRate01_048K_SibleyRegional_ZoomRecorder_20250430_072322.flac
64.5,67.5,Accipiter cooperii,Cooper's Hawk,0.4180,/Users/lillianwang/Downloads/research/kate 25-4-30/BirdCallRate01_048K_SibleyRegional_ZoomRecorder_20250430_072322.flac
96.0,99.0,Agelaius phoeniceus,Red-winged Blackbird,0.1030,/Users/lillianwang/Downloads/research/kate 25-4-30/BirdCallRate01_048K_SibleyRegional_ZoomRecorder_20250430_072322.flac
97.5,100.5,Agelaius phoeniceus,Red-winged Blackbird,0.1095,/Users/lillianwang/Downloads/research/kate 25-4-30/BirdCallRate01_048K_SibleyRegional_ZoomRecorder_20250430_072322.flac
106.5,109.5,Columba livia,Rock Pigeon,0.1047,/Users/lillianwang/Downloads/research/kate 25-4-30/BirdCallRate01_048K_SibleyRegional_ZoomRecorder_20250430_072322.flac
114.0,117.0,Poecile atricapillus,Black-capped Chickadee,0.2917,/Users/lillianwang/Downloads/research/kate 25-4-30/BirdCallRate01_048K_SibleyRegional_ZoomRecorder_20250430_072322.flac
126.0,129.0,Poecile atricapillus,Black-capped Chickadee,0.1282,/Users/lillianwang/Downloads/research/kate 25-4-30/BirdCallRate01_048K_SibleyRegional_ZoomRecorder_20250430_072322.flac
127.5,130.5,Poecile atricapillus,Black-capped Chickadee,0.2601,/Users/lillianwang/Downloads/research/kate 25-4-30/BirdCallRate01_048K_SibleyRegional_ZoomRecorder_20250430_072322.flac
129.0,132.0,Accipiter cooperii,Cooper's Hawk,0.1209,/Users/lillianwang/Downloads/research/kate 25-4-30/BirdCallRate01_048K_SibleyRegional_ZoomRecorder_20250430_072322.flac
157.5,160.5,Catharus guttatus,Hermit Thrush,0.1056,/Users/lillianwang/Downloads/research/kate 25-4-30/BirdCallRate01_048K_SibleyRegional_ZoomRecorder_20250430_072322.flac
168.0,171.0,Accipiter cooperii,Cooper's Hawk,0.2112,/Users/lillianwang/Downloads/research/kate 25-4-30/BirdCallRate01_048K_SibleyRegional_ZoomRecorder_20250430_072322.flac
175.5,178.5,Poecile atricapillus,Black-capped Chickadee,0.1833,/Users/lillianwang/Downloads/research/kate 25-4-30/BirdCallRate01_048K_SibleyRegional_ZoomRecorder_20250430_072322.flac
177.0,180.0,Catharus guttatus,Hermit Thrush,0.1320,/Users/lillianwang/Downloads/research/kate 25-4-30/BirdCallRate01_048K_SibleyRegional_ZoomRecorder_20250430_072322.flac
177.0,180.0,Spinus pinus,Pine Siskin,0.1039,/Users/lillianwang/Downloads/research/kate 25-4-30/BirdCallRate01_048K_SibleyRegional_ZoomRecorder_20250430_072322.flac
180.0,183.0,Catharus guttatus,Hermit Thrush,0.2460,/Users/lillianwang/Downloads/research/kate 25-4-30/BirdCallRate01_048K_SibleyRegional_ZoomRecorder_20250430_072322.flac
186.0,189.0,Contopus virens,Eastern Wood-Pewee,0.1023,/Users/lillianwang/Downloads/research/kate 25-4-30/BirdCallRate01_048K_SibleyRegional_ZoomRecorder_20250430_072322.flac
190.5,193.5,Junco hyemalis,Dark-eyed Junco,0.1314,/Users/lillianwang/Downloads/research/kate 25-4-30/BirdCallRate01_048K_SibleyRegional_ZoomRecorder_20250430_072322.flac
192.0,195.0,Contopus virens,Eastern Wood-Pewee,0.1478,/Users/lillianwang/Downloads/research/kate 25-4-30/BirdCallRate01_048K_SibleyRegional_ZoomRecorder_20250430_072322.flac
202.5,205.5,Quiscalus quiscula,Common Grackle,0.1114,/Users/lillianwang/Downloads/research/kate 25-4-30/BirdCallRate01_048K_SibleyRegional_ZoomRecorder_20250430_072322.flac
213.0,216.0,Troglodytes hiemalis,Winter Wren,0.1717,/Users/lillianwang/Downloads/research/kate 25-4-30/BirdCallRate01_048K_SibleyRegional_ZoomRecorder_20250430_072322.flac
214.5,217.5,Accipiter cooperii,Cooper's Hawk,0.2384,/Users/lillianwang/Downloads/research/kate 25-4-30/BirdCallRate01_048K_SibleyRegional_ZoomRecorder_20250430_072322.flac
223.5,226.5,Accipiter cooperii,Cooper's Hawk,0.2969,/Users/lillianwang/Downloads/research/kate 25-4-30/BirdCallRate01_048K_SibleyRegional_ZoomRecorder_20250430_072322.flac
223.5,226.5,Larus delawarensis,Ring-billed Gull,0.1319,/Users/lillianwang/Downloads/research/kate 25-4-30/BirdCallRate01_048K_SibleyRegional_ZoomRecorder_20250430_072322.flac
225.0,228.0,Larus delawarensis,Ring-billed Gull,0.3060,/Users/lillianwang/Downloads/research/kate 25-4-30/BirdCallRate01_048K_SibleyRegional_ZoomRecorder_20250430_072322.flac
255.0,258.0,Haemorhous mexicanus,House Finch,0.1960,/Users/lillianwang/Downloads/research/kate 25-4-30/BirdCallRate01_048K_SibleyRegional_ZoomRecorder_20250430_072322.flac
264.0,267.0,Branta canadensis,Canada Goose,0.1080,/Users/lillianwang/Downloads/research/kate 25-4-30/BirdCallRate01_048K_SibleyRegional_ZoomRecorder_20250430_072322.flac
