Start (s),End (s),Scientific name,Common name,Confidence,File
1.5,4.5,Setophaga pinus,Pine Warbler,0.1785,/Users/lillianwang/Downloads/research/kate 25-4-30/BirdCallRate01_048K_SibleyRegional_ZoomRecorder_20250430_074110.flac
1.5,4.5,Junco hyemalis,Dark-eyed Junco,0.1211,/Users/lillianwang/Downloads/research/kate 25-4-30/BirdCallRate01_048K_SibleyRegional_ZoomRecorder_20250430_074110.flac
3.0,6.0,Setophaga pinus,Pine Warbler,0.1088,/Users/lillianwang/Downloads/research/kate 25-4-30/BirdCallRate01_048K_SibleyRegional_ZoomRecorder_20250430_074110.flac
16.5,19.5,Junco hyemalis,Dark-eyed Junco,0.1027,/Users/lillianwang/Downloads/research/kate 25-4-30/BirdCallRate01_048K_SibleyRegional_ZoomRecorder_20250430_074110.flac
21.0,24.0,Branta canadensis,Canada Goose,0.1191,/Users/lillianwang/Downloads/research/kate 25-4-30/BirdCallRate01_048K_SibleyRegional_ZoomRecorder_20250430_074110.flac
45.0,48.0,Agelaius phoeniceus,Red-winged Blackbird,0.1475,/Users/lillianwang/Downloads/research/kate 25-4-30/BirdCallRate01_048K_SibleyRegional_ZoomRecorder_20250430_074110.flac
57.0,60.0,Certhia americana,Brown Creeper,0.1346,/Users/lillianwang/Downloads/research/kate 25-4-30/BirdCallRate01_048K_SibleyRegional_ZoomRecorder_20250430_074110.flac
58.5,61.5,Certhia americana,Brown Creeper,0.9249,/Users/lillianwang/Downloads/research/kate 25-4-30/BirdCallRate01_048K_SibleyRegional_ZoomRecorder_20250430_074110.flac
60.0,63.0,Certhia americana,Brown Creeper,0.1900,/Users/lillianwang/Downloads/research/kate 25-4-30/BirdCallRate01_048K_SibleyRegional_ZoomRecorder_20250430_074110.flac
60.0,63.0,Setophaga pinus,Pine Warbler,0.1144,/Users/lillianwang/Downloads/research/kate 25-4-30/BirdCallRate01_048K_SibleyRegional_ZoomRecorder_20250430_074110.flac
61.5,64.5,Junco hyemalis,Dark-eyed Junco,0.1242,/Users/lillianwang/Downloads/research/kate 25-4-30/BirdCallRate01_048K_SibleyRegional_ZoomRecorder_20250430_074110.flac
66.0,69.0,Poecile atricapillus,Black-capped Chickadee,0.1806,/Users/lillianwang/Downloads/research/kate 25-4-30/BirdCallRate01_048K_SibleyRegional_ZoomRecorder_20250430_074110.flac
67.5,70.5,Poecile atricapillus,Black-capped Chickadee,0.2385,/Users/lillianwang/Downloads/research/kate 25-4-30/BirdCallRate01_048K_SibleyRegional_ZoomRecorder_20250430_074110.flac
69.0,72.0,Poecile atricapillus,Black-capped Chickadee,0.3274,/Users/lillianwang/Downloads/research/kate 25-4-30/BirdCallRate01_048K_SibleyRegional_ZoomRecorder_20250430_074110.flac
76.5,79.5,Certhia americana,Brown Creeper,0.2709,/Users/lillianwang/Downloads/research/kate 25-4-30/BirdCallRate01_048K_SibleyRegional_ZoomRecorder_20250430_074110.flac
78.0,81.0,Certhia americana,Brown Creeper,0.9707,/Users/lillianwang/Downloads/research/kate 25-4-30/BirdCallRate01_048K_SibleyRegional_ZoomRecorder_20250430_074110.flac
79.5,82.5,Certhia americana,Brown Creeper,0.9800,/Users/lillianwang/Downloads/research/kate 25-4-30/BirdCallRate01_048K_SibleyRegional_ZoomRecorder_20250430_074110.flac
88.5,91.5,Poecile atricapillus,Black-capped Chickadee,0.1346,/Users/lillianwang/Downloads/research/kate 25-4-30/BirdCallRate01_048K_SibleyRegional_ZoomRecorder_20250430_074110.flac
90.0,93.0,Poecile atricapillus,Black-capped Chickadee,0.3060,/Users/lillianwang/Downloads/research/kate 25-4-30/BirdCallRate01_048K_SibleyRegional_ZoomRecorder_20250430_074110.flac
100.5,103.5,Certhia americana,Brown Creeper,0.1929,/Users/lillianwang/Downloads/research/kate 25-4-30/BirdCallRate01_048K_SibleyRegional_ZoomRecorder_20250430_074110.flac
102.0,105.0,Certhia americana,Brown Creeper,0.1907,/Users/lillianwang/Downloads/research/kate 25-4-30/BirdCallRate01_048K_SibleyRegional_ZoomRecorder_20250430_074110.flac
109.5,112.5,Setophaga pinus,Pine Warbler,0.1097,/Users/lillianwang/Downloads/research/kate 25-4-30/BirdCallRate01_048K_SibleyRegional_ZoomRecorder_20250430_074110.flac
115.5,118.5,Poecile atricapillus,Black-capped Chickadee,0.2640,/Users/lillianwang/Downloads/research/kate 25-4-30/BirdCallRate01_048K_SibleyRegional_ZoomRecorder_20250430_074110.flac
118.5,121.5,Poecile atricapillus,Black-capped Chickadee,0.1111,/Users/lillianwang/Downloads/research/kate 25-4-30/BirdCallRate01_048K_SibleyRegional_ZoomRecorder_20250430_074110.flac
120.0,123.0,Setophaga pinus,Pine Warbler,0.5482,/Users/lillianwang/Downloads/research/kate 25-4-30/BirdCallRate01_048K_SibleyRegional_ZoomRecorder_20250430_074110.flac
121.5,124.5,Certhia americana,Brown Creeper,0.1053,/Users/lillianwang/Downloads/research/kate 25-4-30/BirdCallRate01_048K_SibleyRegional_ZoomRecorder_20250430_074110.flac
124.5,127.5,Poecile atricapillus,Black-capped Chickadee,0.1691,/Users/lillianwang/Downloads/research/kate 25-4-30/BirdCallRate01_048K_SibleyRegional_ZoomRecorder_20250430_074110.flac
126.0,129.0,Poecile atricapillus,Black-capped Chickadee,0.1899,/Users/lillianwang/Downloads/research/kate 25-4-30/BirdCallRate01_048K_SibleyRegional_ZoomRecorder_20250430_074110.flac
127.5,130.5,Poecile atricapillus,Black-capped Chickadee,0.2499,/Users/lillianwang/Downloads/research/kate 25-4-30/BirdCallRate01_048K_SibleyRegional_ZoomRecorder_20250430_074110.flac
132.0,135.0,Setophaga pinus,Pine Warbler,0.1237,/Users/lillianwang/Downloads/research/kate 25-4-30/BirdCallRate01_048K_SibleyRegional_ZoomRecorder_20250430_074110.flac
136.5,139.5,Poecile atricapillus,Black-capped Chickadee,0.1222,/Users/lillianwang/Downloads/research/kate 25-4-30/BirdCallRate01_048K_SibleyRegional_ZoomRecorder_20250430_074110.flac
144.0,147.0,Setophaga pinus,Pine Warbler,0.1563,/Users/lillianwang/Downloads/research/kate 25-4-30/BirdCallRate01_048K_SibleyRegional_ZoomRecorder_20250430_074110.flac
151.5,154.5,Certhia americana,Brown Creeper,0.1591,/Users/lillianwang/Downloads/research/kate 25-4-30/BirdCallRate01_048K_SibleyRegional_ZoomRecorder_20250430_074110.flac
154.5,157.5,Poecile atricapillus,Black-capped Chickadee,0.1797,/Users/lillianwang/Downloads/research/kate 25-4-30/BirdCallRate01_048K_SibleyRegional_ZoomRecorder_20250430_074110.flac
160.5,163.5,Junco hyemalis,Dark-eyed Junco,0.1395,/Users/lillianwang/Downloads/research/kate 25-4-30/BirdCallRate01_048K_SibleyRegional_ZoomRecorder_20250430_074110.flac
160.5,163.5,Setophaga pinus,Pine Warbler,0.1147,/Users/lillianwang/Downloads/research/kate 25-4-30/BirdCallRate01_048K_SibleyRegional_ZoomRecorder_20250430_074110.flac
174.0,177.0,Setophaga pinus,Pine Warbler,0.1784,/Users/lillianwang/Downloads/research/kate 25-4-30/BirdCallRate01_048K_SibleyRegional_ZoomRecorder_20250430_074110.flac
174.0,177.0,Junco hyemalis,Dark-eyed Junco,0.1050,/Users/lillianwang/Downloads/research/kate 25-4-30/BirdCallRate01_048K_SibleyRegional_ZoomRecorder_20250430_074110.flac
189.0,192.0,Setophaga pinus,Pine Warbler,0.1339,/Users/lillianwang/Downloads/research/kate 25-4-30/BirdCallRate01_048K_SibleyRegional_ZoomRecorder_20250430_074110.flac
201.0,204.0,Turdus migratorius,American Robin,0.1978,/Users/lillianwang/Downloads/research/kate 25-4-30/BirdCallRate01_048K_SibleyRegional_ZoomRecorder_20250430_074110.flac
202.5,205.5,Parkesia noveboracensis,Northern Waterthrush,0.1226,/Users/lillianwang/Downloads/research/kate 25-4-30/BirdCallRate01_048K_SibleyRegional_ZoomRecorder_20250430_074110.flac
204.0,207.0,Setophaga pinus,Pine Warbler,0.1045,/Users/lillianwang/Downloads/research/kate 25-4-30/BirdCallRate01_048K_SibleyRegional_ZoomRecorder_20250430_074110.flac
213.0,216.0,Bombycilla cedrorum,Cedar Waxwing,0.4007,/Users/lillianwang/Downloads/research/kate 25-4-30/BirdCallRate01_048K_SibleyRegional_ZoomRecorder_20250430_074110.flac
217.5,220.5,Setophaga pinus,Pine Warbler,0.1119,/Users/lillianwang/Downloads/research/kate 25-4-30/BirdCallRate01_048K_SibleyRegional_ZoomRecorder_20250430_074110.flac
219.0,222.0,Setophaga pinus,Pine Warbler,0.1349,/Users/lillianwang/Downloads/research/kate 25-4-30/BirdCallRate01_048K_SibleyRegional_ZoomRecorder_20250430_074110.flac
223.5,226.5,Turdus migratorius,American Robin,0.2212,/Users/lillianwang/Downloads/research/kate 25-4-30/BirdCallRate01_048K_SibleyRegional_ZoomRecorder_20250430_074110.flac
225.0,228.0,Turdus migratorius,American Robin,0.1923,/Users/lillianwang/Downloads/research/kate 25-4-30/BirdCallRate01_048K_SibleyRegional_ZoomRecorder_20250430_074110.flac
226.5,229.5,Turdus migratorius,American Robin,0.1055,/Users/lillianwang/Downloads/research/kate 25-4-30/BirdCallRate01_048K_SibleyRegional_ZoomRecorder_20250430_074110.flac
231.0,234.0,Setophaga pinus,Pine Warbler,0.1674,/Users/lillianwang/Downloads/research/kate 25-4-30/BirdCallRate01_048K_SibleyRegional_ZoomRecorder_20250430_074110.flac
238.5,241.5,Turdus migratorius,American Robin,0.7203,/Users/lillianwang/Downloads/research/kate 25-4-30/BirdCallRate01_048K_SibleyRegional_ZoomRecorder_20250430_074110.flac
240.0,243.0,Turdus migratorius,American Robin,0.1911,/Users/lillianwang/Downloads/research/kate 25-4-30/BirdCallRate01_048K_SibleyRegional_ZoomRecorder_20250430_074110.flac
244.5,247.5,Setophaga pinus,Pine Warbler,0.2154,/Users/lillianwang/Downloads/research/kate 25-4-30/BirdCallRate01_048K_SibleyRegional_ZoomRecorder_20250430_074110.flac
244.5,247.5,Junco hyemalis,Dark-eyed Junco,0.1267,/Users/lillianwang/Downloads/research/kate 25-4-30/BirdCallRate01_048K_SibleyRegional_ZoomRecorder_20250430_074110.flac
247.5,250.5,Turdus migratorius,American Robin,0.3703,/Users/lillianwang/Downloads/research/kate 25-4-30/BirdCallRate01_048K_SibleyRegional_ZoomRecorder_20250430_074110.flac
253.5,256.5,Spizella passerina,Chipping Sparrow,0.1412,/Users/lillianwang/Downloads/research/kate 25-4-30/BirdCallRate01_048K_SibleyRegional_ZoomRecorder_20250430_074110.flac
256.5,259.5,Setophaga virens,Black-throated Green Warbler,0.2370,/Users/lillianwang/Downloads/research/kate 25-4-30/BirdCallRate01_048K_SibleyRegional_ZoomRecorder_20250430_074110.flac
256.5,259.5,Setophaga caerulescens,Black-throated Blue Warbler,0.1800,/Users/lillianwang/Downloads/research/kate 25-4-30/BirdCallRate01_048K_SibleyRegional_ZoomRecorder_20250430_074110.flac
261.0,264.0,Turdus migratorius,American Robin,0.3379,/Users/lillianwang/Downloads/research/kate 25-4-30/BirdCallRate01_048K_SibleyRegional_ZoomRecorder_20250430_074110.flac
262.5,265.5,Turdus migratorius,American Robin,0.2487,/Users/lillianwang/Downloads/research/kate 25-4-30/BirdCallRate01_048K_SibleyRegional_ZoomRecorder_20250430_074110.flac
262.5,265.5,Certhia americana,Brown Creeper,0.1035,/Users/lillianwang/Downloads/research/kate 25-4-30/BirdCallRate01_048K_SibleyRegional_ZoomRecorder_20250430_074110.flac
270.0,273.0,Turdus migratorius,American Robin,0.3479,/Users/lillianwang/Downloads/research/kate 25-4-30/BirdCallRate01_048K_SibleyRegional_ZoomRecorder_20250430_074110.flac
271.5,274.5,Turdus migratorius,American Robin,0.4117,/Users/lillianwang/Downloads/research/kate 25-4-30/BirdCallRate01_048K_SibleyRegional_ZoomRecorder_20250430_074110.flac
273.0,276.0,Turdus migratorius,American Robin,0.1451,/Users/lillianwang/Downloads/research/kate 25-4-30/BirdCallRate01_048K_SibleyRegional_ZoomRecorder_20250430_074110.flac
273.0,276.0,Hylocichla mustelina,Wood Thrush,0.1022,/Users/lillianwang/Downloads/research/kate 25-4-30/BirdCallRate01_048K_SibleyRegional_ZoomRecorder_20250430_074110.flac
277.5,280.5,Junco hyemalis,Dark-eyed Junco,0.1640,/Users/lillianwang/Downloads/research/kate 25-4-30/BirdCallRate01_048K_SibleyRegional_ZoomRecorder_20250430_074110.flac
279.0,282.0,Junco hyemalis,Dark-eyed Junco,0.1002,/Users/lillianwang/Downloads/research/kate 25-4-30/BirdCallRate01_048K_SibleyRegional_ZoomRecorder_20250430_074110.flac
288.0,291.0,Turdus migratorius,American Robin,0.2897,/Users/lillianwang/Downloads/research/kate 25-4-30/BirdCallRate01_048K_SibleyRegional_ZoomRecorder_20250430_074110.flac
289.5,292.5,Setophaga pinus,Pine Warbler,0.1410,/Users/lillianwang/Downloads/research/kate 25-4-30/BirdCallRate01_048K_SibleyRegional_ZoomRecorder_20250430_074110.flac
295.5,298.5,Turdus migratorius,American Robin,0.3694,/Users/lillianwang/Downloads/research/kate 25-4-30/BirdCallRate01_048K_SibleyRegional_ZoomRecorder_20250430_074110.flac
297.0,300.0,Turdus migratorius,American Robin,0.3718,/Users/lillianwang/Downloads/research/kate 25-4-30/BirdCallRate01_048K_SibleyRegional_ZoomRecorder_20250430_074110.flac
298.5,301.5,Hylocichla mustelina,Wood Thrush,0.1284,/Users/lillianwang/Downloads/research/kate 25-4-30/BirdCallRate01_048K_SibleyRegional_ZoomRecorder_20250430_074110.flac
298.5,301.5,Catharus guttatus,Hermit Thrush,0.1154,/Users/lillianwang/Downloads/research/kate 25-4-30/BirdCallRate01_048K_SibleyRegional_ZoomRecorder_20250430_074110.flac
